Text,Degrees
Argeșel River - Wikipedia,14
Leallah - Wikipedia,10
Kristian Fahlstrøm - Wikipedia,23
FC Spartak Shchyolkovo - Wikipedia,15
Gordon Savage (bishop) - Wikipedia,17
Communist Party of the Soviet Union (1992) - Wikipedia,14
Kuri railway station - Wikipedia,11
Lycée Vincent van Gogh La Haye-Amsterdam - Wikipedia,20
Peter Brotherton - Wikipedia,12
Gavintra Photijak - Wikipedia,14
French Guiana's 1st constituency - Wikipedia,17
The Tree on the Hill - Wikipedia,6
Science in science fiction - Wikipedia,6
Biorhiza pallida - Wikipedia,9
Carbona (moth) - Wikipedia,7
Municipalities of Argentina - Wikipedia,9
Perianal hematoma - Wikipedia,13
1996 Outback Bowl - Wikipedia,22
2004 Wimbledon Championships – Women's Singles Qualifying - Wikipedia,16
Chen I-chuan - Wikipedia,12
East Staffordshire Borough Council elections - Wikipedia,19
Passion (band) - Wikipedia,15
Türnitz - Wikipedia,13
"Hoernerstown, Pennsylvania - Wikipedia",17
Cristian Tello - Wikipedia,12
Eighter Island - Wikipedia,16
The Red Pony (1973 film) - Wikipedia,13
Higashi-Nagahara Station - Wikipedia,9
Theodore W. Greig - Wikipedia,13
"Limerick City by-election, 1879 - Wikipedia",16
Comedy Central (Australia) - Wikipedia,14
For Alto - Wikipedia,13
"Pottageville, Ontario - Wikipedia",18
Jülich-Zülpich Börde - Wikipedia,8
Once Upon a Time... Man - Wikipedia,10
National Drug and Alcohol Research Centre - Wikipedia,15
"Chałupki, Racibórz County - Wikipedia",22
Bhopal – Pratapgarh Express (via Lucknow) - Wikipedia,13
Chills (TV series) - Wikipedia,12
Ilkka Viljanen - Wikipedia,9
San Juan Petlapa - Wikipedia,11
Sulpiride - Wikipedia,17
Bulbophyllum brachyphyton - Wikipedia,11
Calakmul Municipality - Wikipedia,10
Eva Melicharová - Wikipedia,14
Deirdre Macnab - Wikipedia,21
Devil's Tramping Ground - Wikipedia,18
"Boljanovići, Trnovo - Wikipedia",8
X-Rated: The Pop Videos They Tried to Ban - Wikipedia,21
Alfred Wilkinson Johnson - Wikipedia,13
Walter Bäni - Wikipedia,12
Ugolino and His Sons (Carpeaux) - Wikipedia,16
Ugrachandi Nala - Wikipedia,14
1991 World Wrestling Championships - Wikipedia,15
René Borjas - Wikipedia,9
"Deh Sheykh, Sirjan - Wikipedia",18
Richard Susskind - Wikipedia,18
Edward Buck (lawyer) - Wikipedia,16
Domenico Beceri - Wikipedia,8
Chrysasura - Wikipedia,7
List of Inuyasha episodes (season 6) - Wikipedia,10
Cross Creek (Florida) - Wikipedia,7
Jitesh Thakur - Wikipedia,25
Termitidae - Wikipedia,7
Mieruniszki - Wikipedia,8
C18H12O9 - Wikipedia,12
Boxing on NBC - Wikipedia,12
Stokes operator - Wikipedia,9
"Hempton, Oxfordshire - Wikipedia",19
432d Wing - Wikipedia,11
La Espina - Wikipedia,16
E. T. Whittaker - Wikipedia,8
Chris Alli - Wikipedia,13
"James Innes-Ker, 5th Duke of Roxburghe - Wikipedia",15
Ponkunnam Varkey - Wikipedia,27
IPEX syndrome - Wikipedia,12
Hassan Djamous - Wikipedia,11
Floating Seeds Remixed - Wikipedia,11
Donald Mercer Cormie - Wikipedia,13
House at 115 South Main Street - Wikipedia,9
Harry Barton (baseball) - Wikipedia,13
Faridabad Thermal Power Station - Wikipedia,28
"Britt Township, Hancock County, Iowa - Wikipedia",14
Dweir Baabda - Wikipedia,10
Shunfeng'er - Wikipedia,14
Iwate-Wainai Station - Wikipedia,9
Hrishikesh (actor) - Wikipedia,19
Lichenopteryx scotina - Wikipedia,15
Long-legged buzzard - Wikipedia,13
Geethaanjali - Wikipedia,18
1848 Democratic National Convention - Wikipedia,14
E. J. Bibbs - Wikipedia,14
Kimmer Coppejans - Wikipedia,9
Tessolve - Wikipedia,13
Worlds Apart (Vince Gill song) - Wikipedia,14
2005–06 FC Steaua București season - Wikipedia,13
"Fort Mountain (Murray County, Georgia) - Wikipedia",12
Doug Chappel - Wikipedia,15
Hitchcock (automobile) - Wikipedia,13
"Chaudefontaine, Marne - Wikipedia",16
OR4C13 - Wikipedia,11
Van den Herik - Wikipedia,20
Lajoskomárom - Wikipedia,9
Endorsements in the Australian Marriage Law Postal Survey - Wikipedia,12
Ernie Andres - Wikipedia,10
Galveston County Bar Association - Wikipedia,16
Luciano Foschi - Wikipedia,8
Runova X Handover - Wikipedia,16
2007 Hopman Cup - Wikipedia,12
Banana Peel - Wikipedia,19
Branko Kokir - Wikipedia,12
Shire of Coolgardie - Wikipedia,17
Sybra ternatensis - Wikipedia,15
South Korea at the 1986 Asian Winter Games - Wikipedia,9
2013 IK Start season - Wikipedia,12
Jane Morgan (actress) - Wikipedia,6
Ángel Bernabé - Wikipedia,12
The Lee Konitz Quintet - Wikipedia,15
Rezonance Q - Wikipedia,19
Kevin Conboy - Wikipedia,9
"Tysons, Virginia - Wikipedia",13
Jim Prior - Wikipedia,10
Self-embedding - Wikipedia,9
"Admission, discharge, and transfer system - Wikipedia",9
Edge of Darkness - Wikipedia,19
State Constitution Gubernatorial Qualifications in the United States - Wikipedia,7
Sanga da Alemoa - Wikipedia,17
Bernie Smith (baseball) - Wikipedia,10
Milton Neil Campbell - Wikipedia,15
"Bellevue, Western Australia - Wikipedia",17
Roccafiorita - Wikipedia,16
"Carlton, Pennsylvania - Wikipedia",17
Torre de Francia - Wikipedia,11
Jardin botanique de Gondremer - Wikipedia,12
Montérolier - Wikipedia,16
2014 German Formula Three Championship - Wikipedia,14
Closest point method - Wikipedia,16
Peter Szalai - Wikipedia,14
Solidago odora - Wikipedia,13
Zengwen Dam - Wikipedia,14
Vom mutigen Hans - Wikipedia,8
Amar Kudin - Wikipedia,8
Keith Kildey - Wikipedia,13
Ancienne Laiterie de Madame - Wikipedia,13
1896 Boston Beaneaters season - Wikipedia,17
You and Me Equals Us - Wikipedia,18
"Yalquz Aghaj, Meyaneh - Wikipedia",18
Alexandrini - Wikipedia,13
List of radio stations in Louisiana - Wikipedia,11
Sallie Holman - Wikipedia,12
1903–04 Bucknell Bison men's basketball team - Wikipedia,14
Danny Havoc - Wikipedia,14
Cape Cod System - Wikipedia,8
Mochong - Wikipedia,11
"Novosvitlivka, Luhansk Oblast - Wikipedia",9
Bonne of Armagnac - Wikipedia,18
Bredele - Wikipedia,12
Carminow Cross - Wikipedia,26
"Central City, Alabama - Wikipedia",17
"Hogensborg, U.S. Virgin Islands - Wikipedia",15
USS Micka - Wikipedia,13
Durham Bulls Athletic Park - Wikipedia,7
Canadian Jewish Review - Wikipedia,22
White-throated robin-chat - Wikipedia,12
Barrel of Monkeys Productions - Wikipedia,16
Francisco de Paula Andrade Troconis - Wikipedia,10
I'll Sleep When I'm Dead (film) - Wikipedia,17
French ship Royal Louis (1668) - Wikipedia,14
Tłuste - Wikipedia,8
C. B. K. Beachcroft - Wikipedia,13
Jagadeesh Kanna - Wikipedia,12
Niclas Olofsson - Wikipedia,12
Northcutt (surname) - Wikipedia,9
Abdolmoghim Nasehi - Wikipedia,23
Okie Adams - Wikipedia,15
Jim Larsen - Wikipedia,9
Washington Heights (film) - Wikipedia,12
Gare d'Itxassou - Wikipedia,11
"Hartlepool Borough Council election, 1998 - Wikipedia",15
Rahaq - Wikipedia,18
Josie DiVincenzo - Wikipedia,24
Anakasia simplicifolia - Wikipedia,8
"Qaleh Juq, Mahneshan - Wikipedia",18
Tando Sarwar railway station - Wikipedia,25
IDology - Wikipedia,13
Jurak-e Nowzar - Wikipedia,18
"John Alexander (footballer, born 1955) - Wikipedia",12
Cottus koreanus - Wikipedia,23
Dactyladenia johnstonei - Wikipedia,8
