Rank,Text,Link,Popularity,Degrees
1,United States,/wiki/United_States,168.2,9
2,Donald Trump,/wiki/Donald_Trump,125.4,11
3,Barack Obama,/wiki/Barack_Obama,114.6,11
4,India,/wiki/India,101.0,24
5,World War II,/wiki/World_War_II,97.6,10
6,Michael Jackson,/wiki/Michael_Jackson,96.3,25
7,Sex,/wiki/Sex,94.0,8
8,United Kingdom,/wiki/United_Kingdom,92.5,8
9,Lady Gaga,/wiki/Lady_Gaga,92.3,13
9,Eminem,/wiki/Eminem,92.3,15
10,The Beatles,/wiki/The_Beatles,90.0,15
12,Adolf Hitler,/wiki/Adolf_Hitler,83.7,16
13,Justin Bieber,/wiki/Justin_Bieber,83.0,10
14,World War I,/wiki/World_War_I,81.0,10
15,The Big Bang Theory,/wiki/The_Big_Bang_Theory,78.6,5
16,Steve Jobs,/wiki/Steve_Jobs,78.0,10
17,Canada,/wiki/Canada,76.5,14
18,Game of Thrones,/wiki/Game_of_Thrones,76.4,5
19,How I Met Your Mother,/wiki/How_I_Met_Your_Mother,74.4,5
20,Academy Awards,/wiki/Academy_Awards,74.0,12
21,Lil Wayne,/wiki/Lil_Wayne,73.8,13
22,Kim Kardashian,/wiki/Kim_Kardashian,73.5,12
23,Australia,/wiki/Australia,72.7,14
24,Cristiano Ronaldo,/wiki/Cristiano_Ronaldo,70.0,10
25,Miley Cyrus,/wiki/Miley_Cyrus,67.7,20
26,Elizabeth II,/wiki/Elizabeth_II,67.0,12
27,List of Presidents of the United States,/wiki/List_of_Presidents_of_the_United_States,66.0,10
28,Harry Potter,/wiki/Harry_Potter,65.4,29
29,Rihanna,/wiki/Rihanna,64.6,14
30,Japan,/wiki/Japan,64.5,8
30,Selena Gomez,/wiki/Selena_Gomez,64.0,21
30,Glee (TV series),/wiki/Glee_(TV_series),64.0,37
30,Germany,/wiki/Germany,64.0,8
34,The Walking Dead (TV series),/wiki/The_Walking_Dead_(TV_series),63.5,6
35,Abraham Lincoln,/wiki/Abraham_Lincoln,63.3,11
36,Taylor Swift,/wiki/Taylor_Swift,63.0,7
