Table,Rank,Text,Link,Popularity,Degrees
2,1,United States,/wiki/United_States,167.0,9
2,2,India,/wiki/India,100.0,24
2,3,United Kingdom,/wiki/United_Kingdom,91.8,8
2,4,Canada,/wiki/Canada,75.8,14
2,5,Australia,/wiki/Australia,72.2,14
2,6,Japan,/wiki/Japan,64.1,8
2,7,Germany,/wiki/Germany,63.3,8
2,8,China,/wiki/China,60.8,7
2,9,France,/wiki/France,59.0,26
2,10,Russia,/wiki/Russia,58.7,14
2,11,Singapore,/wiki/Singapore,48.3,11
2,12,Israel,/wiki/Israel,47.3,15
2,13,Brazil,/wiki/Brazil,46.8,14
2,14,Italy,/wiki/Italy,44.2,7
2,15,Philippines,/wiki/Philippines,43.6,7
2,16,Spain,/wiki/Spain,43.3,8
2,17,Netherlands,/wiki/Netherlands,42.8,18
2,18,New Zealand,/wiki/New_Zealand,41.3,15
2,19,Turkey,/wiki/Turkey,40.2,14
2,20,Mexico,/wiki/Mexico,39.5,9
2,20,Pakistan,/wiki/Pakistan,39.5,24
2,22,South Africa,/wiki/South_Africa,38.9,9
2,23,Indonesia,/wiki/Indonesia,38.5,7
2,24,North Korea,/wiki/North_Korea,37.7,9
2,25,Switzerland,/wiki/Switzerland,36.7,9
2,26,Egypt,/wiki/Egypt,35.7,14
2,27,Perú,/wiki/Per%C3%BA,34.8,14
2,28,Greece,/wiki/Greece,33.6,7
2,29,Iran,/wiki/Iran,33.2,8
2,30,Ireland,/wiki/Ireland,33.0,14
3,1,New York City,/wiki/New_York_City,59.7,15
3,2,London,/wiki/London,50.4,10
3,3,Singapore,/wiki/Singapore,47.4,11
3,4,Hong Kong,/wiki/Hong_Kong,37.2,16
3,5,Los Angeles,/wiki/Los_Angeles,31.7,14
3,6,Paris,/wiki/Paris,30.5,10
3,7,Chicago,/wiki/Chicago,28.8,15
3,8,"Washington, D.C.","/wiki/Washington,_D.C.",26.9,10
3,9,San Francisco,/wiki/San_Francisco,24.3,14
3,10,Rome,/wiki/Rome,23.7,10
3,11,Mumbai,/wiki/Mumbai,23.3,10
3,12,Toronto,/wiki/Toronto,21.2,17
3,13,Philadelphia,/wiki/Philadelphia,20.8,9
3,14,Monaco,/wiki/Monaco,19.5,10
3,15,Amsterdam,/wiki/Amsterdam,19.1,11
3,16,Tokyo,/wiki/Tokyo,18.7,9
3,16,Boston,/wiki/Boston,18.7,10
3,18,Barcelona,/wiki/Barcelona,17.9,11
3,19,Istanbul,/wiki/Istanbul,17.8,15
3,20,Berlin,/wiki/Berlin,17.4,10
3,21,Pompeii,/wiki/Pompeii,17.2,15
3,22,Rio de Janeiro,/wiki/Rio_de_Janeiro,16.9,16
3,22,Seattle,/wiki/Seattle,16.9,14
3,24,Venice,/wiki/Venice,16.7,8
3,25,Sparta,/wiki/Sparta,16.3,10
3,25,Shanghai,/wiki/Shanghai,16.3,9
3,27,Jerusalem,/wiki/Jerusalem,15.7,15
3,28,Macau,/wiki/Macau,15.5,9
3,29,Montreal,/wiki/Montreal,15.4,18
3,30,Vancouver,/wiki/Vancouver,15.3,15
4,1,Donald Trump,/wiki/Donald_Trump,124.0,11
4,2,Barack Obama,/wiki/Barack_Obama,114.0,11
4,3,Michael Jackson,/wiki/Michael_Jackson,95.7,25
4,4,Lady Gaga,/wiki/Lady_Gaga,92.0,13
4,5,Eminem,/wiki/Eminem,88.9,15
4,6,Adolf Hitler,/wiki/Adolf_Hitler,83.0,16
